,A,T,Tc
0.015505,995.2600640867,294.0550818375,294.0208660018
0.064495,981.0971613528,298.6625295186,297.6989470016
0.1,971.5593610402,301.6312015082,300.731937616
0.115505,966.8347062279,302.4696195548,301.826245909
0.164495,954.0751351691,305.7737826364,305.0339361623
0.2,944.8641638195,307.896345044,307.6697034444
0.215505,940.486559049,309.412289586,309.1528859276
0.264495,928.7990284026,312.2388708608,311.5669134691
0.3,919.5408264931,315.1086961328,314.5958227659
0.315505,916.3230424929,315.6211329828,314.9783993629
0.364495,905.2999784188,318.6739853759,317.6467501844
0.4,898.0004188103,320.7652757112,320.2345199477
0.415505,894.1825636999,321.1551058488,320.8648195834
0.464495,884.3356900646,324.2334076243,323.6710795507
0.5,877.827587633,326.3059996548,325.4223756747
0.515505,874.8517234698,326.9710921046,325.7765460767
0.564495,865.199573388,329.1846061432,328.4969350033
0.6,859.6034381986,330.7293262248,330.2174123844
0.615505,856.9286332021,331.2539006865,330.732204931
0.664495,848.624467519,333.538825438,332.6025929487
0.7,843.0472260789,335.1405944061,334.5421912234
0.715505,840.6046277426,335.9906721576,334.5224064129
0.764495,833.1588215132,337.5714954641,337.0541004033
0.8,828.6256491734,339.0951309592,338.4534837635
0.815505,825.8663427653,339.9333742114,338.7370425672
0.864495,819.3025894818,341.4527196574,340.1593030724
0.9,814.9539253182,342.6256505805,341.8766249886
0.915505,813.003243191,343.2998242566,341.7885958641
0.964495,806.8448580806,344.3846868957,343.8956110532
1.0,803.0313202055,345.5915908261,344.2943623921
1.015505,801.3009154713,345.8786308995,345.4564933493
1.064495,796.0608385679,347.3469846885,346.3405402011
1.1,792.6863748484,348.3540080964,347.7442051691
1.115505,791.0820945752,348.3111833974,347.875109876
1.164495,786.1472577299,350.4372849249,349.2781037216
1.2,783.5036617331,351.4404712322,350.3290818496
1.215505,781.8342680796,350.8617425361,350.6719774427
1.264495,777.4912081922,352.6983734019,351.4593918194
1.3,774.7005603968,353.3469279761,352.7231025812
1.315505,773.5040300875,353.1916924502,352.5191638509
1.364495,770.3227498833,355.0000129397,353.8882156514
1.4,767.062820672,355.3190665231,354.3100367285
1.415505,766.4425817385,355.1642812208,354.7086703049
1.464495,763.3512781425,356.0557948914,355.1443545145
1.5,761.0904471809,356.7011331413,356.0688113481
1.515505,759.7740615,357.1592188306,356.014131725
1.564495,756.9415111969,358.2710256467,357.1484857914
1.6,754.9581420567,358.4250834235,357.761141214
1.615505,754.5212230528,359.0169767298,357.6434883755
1.664495,751.4359261247,359.6124770682,358.6032392766
1.7,750.2366273751,359.8782516513,359.2057939886
1.715505,749.1342539712,360.2091362231,359.2297440085
1.764495,746.9224954361,360.5307912537,360.0430616666
1.8,745.3076758425,361.1082017819,360.3719622491
1.815505,744.6330532463,361.6968177268,360.6196854577
1.864495,742.3636696429,361.8821645018,361.1023588582
1.9,741.6293903882,361.9086369181,362.0957143412
1.915505,740.9241078772,362.6059507804,361.593594432
1.964495,739.3976628001,363.5468014815,362.1713596489
2.0,737.9486186661,363.4266973983,362.6708025646
2.015505,737.2853823666,363.3741189566,363.0807526148
2.064495,736.3058501479,363.9869272405,362.7534821362
2.1,734.4031209855,364.6657289718,363.7140656678
2.115505,734.1853924851,364.3501412251,364.2380787791
2.164495,732.6902776607,365.0241755888,363.9555213913
2.2,731.625715732,365.3381841854,364.2841820541
2.215505,731.6299738405,365.2102741292,364.4091240062
2.264495,730.1931840628,365.8860899987,365.4639769793
2.3,729.4859618126,365.9251671532,365.1951483956
2.315505,729.0040862587,366.3482810386,365.0822982373
2.364495,727.9617477868,366.9400114353,365.7728643902
2.4,727.0784501329,366.9961526581,365.5418915923
2.415505,726.911751627,366.6595733178,365.9689979563
2.464495,725.9464475498,367.239788114,366.1646756851
2.5,725.1573704582,367.1015346133,366.268445739
2.515505,725.027817207,367.4295620962,366.7366758072
2.564495,723.8309993432,367.8885473885,366.481847169
2.6,723.8923456401,367.7934026942,367.2194744494
2.615505,723.2228812709,368.1647528749,366.9580497136
2.664495,722.475205907,368.2497999712,367.4111895346
2.7,722.0592983061,368.3667683009,367.5957550935
2.715505,722.0474244866,368.2881400098,367.4328568937
2.764495,721.1521808702,368.4358431288,367.9312621195
2.8,720.623795182,369.1596647146,367.398010608
2.815505,720.2306207951,368.7511445946,367.8349158123
2.864495,720.0683939728,368.9747379117,368.8353980572
2.9,719.6301111161,369.5074616112,368.4546811868
2.915505,719.6938374514,369.3842916487,368.195488376
2.964495,718.5038717835,369.5557737434,368.2617517827
3.0,718.458181749,369.5097045704,368.5640743415
3.015505,718.3784982023,369.8892489092,368.4872294368
3.064495,717.235863684,369.467502095,368.8713280977
3.1,717.6983154078,370.2107005825,368.8198161611
3.115505,716.8658328582,369.8851113728,369.0689992578
3.164495,716.8122895015,370.0854576952,368.9629879482
3.2,716.6925996547,369.9724263482,369.6289902946
3.215505,716.102387434,369.8929470627,369.2898253825
3.264495,716.3576155965,370.1725541283,369.5130301992
3.3,715.7358050061,370.3198932691,369.65555275
3.315505,715.5559287576,370.6558187597,369.2532013331
3.364495,715.5733856337,370.6573788928,370.10718271
3.4,715.159764283,370.4749580578,369.646938168
3.415505,714.6332092985,370.7701029352,369.799511352
3.464495,714.6330289673,370.7330100099,370.1537318738
3.5,714.4884251677,371.2681002667,369.8955167704
3.515505,714.5418087939,371.3616466213,370.1726455234
3.564495,714.4350937812,371.5181887875,370.2056115648
3.6,713.7960816804,371.4592783984,369.8340602942
3.615505,713.9549942802,371.6313633819,369.737896707
3.664495,714.1170754436,371.2586722005,370.4934254586
3.7,713.4706102707,371.1971814925,369.6874309908
3.715505,713.2354740889,371.2019071493,370.1222874877
3.764495,712.802620269,371.3894082907,370.3730696748
3.8,712.6412272119,371.2726216052,370.5281025401
3.815505,712.9867087015,371.5258093959,370.046022751
3.864495,713.0142945946,371.1612869441,370.788509124
3.9,712.9654460954,372.1486501685,370.2810257721
3.915505,713.3978184499,371.4045055656,370.4196250517
3.964495,712.3806647378,371.1989379879,370.7175745739
4.0,712.800131226,372.3096105552,370.8174266545
4.015505,712.4662268686,371.9565235739,371.0175476917
4.064495,712.2982607003,371.5663191291,370.8048117751
4.1,712.3307941722,371.5030703054,370.6739353781
4.115505,711.9577519383,371.9745577696,371.1021545867
4.164495,711.720969401,372.3255535998,371.011676492
4.2,711.7226663617,371.58724442,370.8385099087
4.215505,711.8874274803,372.1534699636,370.6748328128
4.264495,712.034127915,371.7279590883,371.0029802997
4.3,711.8158646129,372.0819690019,371.2832797712
4.315505,711.7059939787,371.7186901501,370.805445525
4.364495,711.4384568631,372.323678158,371.4132819937
4.4,711.2995220694,372.4579396759,371.1924023696
4.415505,711.8852105272,372.049593707,371.0040263974
4.464495,711.281590291,372.2093267507,371.1878082189
4.5,711.5000531578,372.4344059081,371.7314467287
4.515505,711.3747235662,371.9600345819,370.8589672015
4.564495,710.9524731752,371.7373815522,370.4584127095
4.6,711.1970237302,372.3908045504,371.1598923147
4.615505,711.1781677988,372.0752085511,371.2547838786
4.664495,710.5560952986,372.0577312357,371.3549257512
4.7,710.8739255022,371.847899276,370.909022423
4.715505,711.0396020144,372.2073362797,371.1913168935
4.764495,710.9266897812,372.0656624673,371.2668001343
4.8,710.4578252384,372.8042937764,371.2143899747
4.815505,710.5459571846,372.4251468868,371.4350727502
4.864495,710.4723108049,372.391918504,371.4869632739
4.9,710.7507481183,372.1294705382,370.8536772694
4.915505,710.679214543,372.5422907523,371.1546976629
4.964495,710.283453521,372.2027310713,371.5176204817
5.0,710.2576315917,372.65542012,371.5716438889
